request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000.0 today. This leaves at least IDR 24768300.0 available over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670.0 today. This leaves at least ZAR 20500.0 available over the next 90 days.
request_28,150.95,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1100.0 minimum protected.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524.0 today. This leaves at least ZAR 28300.0 available over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900.0 available."
request_31,4476182.46,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000.0 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16588900.0 minimum.
request_32,19302.5,affordable_later,wait,2025-03-15:40018,2025-03-15,none,Pay ZAR 40018.0 in full on 2025-03-15. Paying earlier would take the balance below the ZAR 35700.0 minimum.
request_33,43120.1,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Pay INR 118000.0 in full on 2026-01-15. Paying earlier would take the balance below the INR 102100.0 minimum.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400.0 today. This leaves at least INR 138500.0 available over the next 90 days.
request_35,43789.35,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000.0 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400.0 minimum.
request_36,887.86,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954.0 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400.0 minimum.
request_37,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17056200.0 minimum protected.
request_38,278.0,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400.0 minimum.
request_39,100062.45,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Pay INR 208600 in full on 2026-04-15. Paying earlier would take the balance below the INR 213400.0 minimum.
request_40,423.61,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Pay EUR 1290.30 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1500.0 minimum.
request_41,15927895.17,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Pay IDR 38760000.0 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25366600.0 minimum.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100.0 today. This leaves at least INR 113100.0 available over the next 90 days.
request_43,9044212.97,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Pay IDR 43339000.0 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21398000.0 minimum.
request_44,43576.85,affordable_later,wait,2025-03-15:95800,2025-03-15,none,Pay INR 95800.0 in full on 2025-03-15. Paying earlier would take the balance below the INR 82900.0 minimum.
request_45,5523058.89,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000.0 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11149800.0 minimum.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 2024-12-03. This leaves at least INR 84000 available."
request_47,26755698.63,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-19. None of the available options keeps the IDR 30049000 minimum protected.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,16055884.75,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000.0 today. This leaves at least IDR 7811000.0 available over the next 90 days.
request_52,19485.24,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870.0 in full on 2024-06-15. Paying earlier would take the balance below the INR 41500.0 minimum.
request_53,554.48,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100.0 available."
